,fdr,spatially_variable
gene_0,4.9999999999999993e-29,1
gene_1,4.9999999999999993e-29,1
gene_2,4.9999999999999993e-29,1
gene_3,4.9999999999999993e-29,1
gene_4,4.9999999999999993e-29,1
gene_5,4.9999999999999993e-29,1
gene_6,4.9999999999999993e-29,1
gene_7,4.9999999999999993e-29,1
gene_8,4.9999999999999993e-29,1
gene_9,4.9999999999999993e-29,1
gene_10,4.9999999999999993e-29,1
gene_11,4.9999999999999993e-29,1
gene_12,4.9999999999999993e-29,1
gene_13,4.9999999999999993e-29,1
gene_14,4.9999999999999993e-29,1
gene_15,4.9999999999999993e-29,1
gene_16,4.9999999999999993e-29,1
gene_17,4.9999999999999993e-29,1
gene_18,4.9999999999999993e-29,1
gene_19,4.9999999999999993e-29,1
gene_20,4.9999999999999993e-29,1
gene_21,4.9999999999999993e-29,1
gene_22,4.9999999999999993e-29,1
gene_23,4.9999999999999993e-29,1
gene_24,4.9999999999999993e-29,1
gene_25,4.9999999999999993e-29,1
gene_26,4.9999999999999993e-29,1
gene_27,4.9999999999999993e-29,1
gene_28,4.9999999999999993e-29,1
gene_29,4.9999999999999993e-29,1
gene_30,4.9999999999999993e-29,1
gene_31,4.9999999999999993e-29,1
gene_32,4.9999999999999993e-29,1
gene_33,4.9999999999999993e-29,1
gene_34,4.9999999999999993e-29,1
gene_35,4.9999999999999993e-29,1
gene_36,4.9999999999999993e-29,1
gene_37,4.9999999999999993e-29,1
gene_38,4.9999999999999993e-29,1
gene_39,4.9999999999999993e-29,1
gene_40,4.9999999999999993e-29,1
gene_41,4.9999999999999993e-29,1
gene_42,4.9999999999999993e-29,1
gene_43,4.9999999999999993e-29,1
gene_44,4.9999999999999993e-29,1
gene_45,4.9999999999999993e-29,1
gene_46,4.9999999999999993e-29,1
gene_47,4.9999999999999993e-29,1
gene_48,4.9999999999999993e-29,1
gene_49,4.9999999999999993e-29,1
gene_50,0.012132943726059947,0
gene_51,0.005563713554935534,0
gene_52,0.0005567724271930323,0
gene_53,0.005563713554935534,0
gene_54,0.4612625574029922,0
gene_55,0.013497365311396635,0
gene_56,0.029765264814178946,0
gene_57,0.010264825235361985,0
gene_58,0.00024162227425856257,0
gene_59,1.0675410917976058e-05,0
gene_60,0.015722447624224402,0
gene_61,0.013904462504140172,0
gene_62,0.011998443030694065,0
gene_63,0.04095468338029559,0
gene_64,0.019521763577891826,0
